ID,Name,Period,Revenue,COGS,Gross Profit,Operating Expenses,Net Income,Gross Margin %,Net Margin %,Comments
38,Gamma LLC,2020-Q4,134430,82652.60345221049,51777.39654778951,14838.825597401272,36938.57095038824,38.52,27.48,Auto-generated data
39,Delta Corp,2020-Q4,76062,49208.25757475981,26853.74242524019,7442.987602060277,19410.754823179916,35.31,25.52,Auto-generated data
40,Epsilon Ltd,2020-Q4,183939,96424.7461690001,87514.2538309999,33027.12671787577,54487.12711312414,47.58,29.62,Auto-generated data
41,Alpha Inc,2021-Q1,71839,49388.02917761905,22450.97082238095,6090.18873026742,16360.78209211353,31.25,22.77,Auto-generated data
42,Beta Co,2021-Q1,189188,98165.53724182337,91022.46275817663,43032.623064979336,47989.83969319729,48.11,25.37,Auto-generated data
43,Gamma LLC,2021-Q1,198804,107795.80779476812,91008.19220523188,39826.43348443815,51181.75872079373,45.78,25.74,Auto-generated data
44,Delta Corp,2021-Q1,130220,75109.71173248555,55110.28826751445,18998.582675947204,36111.705591567246,42.32,27.73,Auto-generated data
45,Epsilon Ltd,2021-Q1,142555,80756.50369682159,61798.496303178414,24947.694987032202,36850.801316146215,43.35,25.85,Auto-generated data
46,Alpha Inc,2021-Q2,105876,67224.06584840534,38651.93415159466,19148.200253984753,19503.733897609905,36.51,18.42,Auto-generated data
47,Beta Co,2021-Q2,55437,38129.26757727853,17307.73242272147,3846.9858004836287,13460.746622237843,31.22,24.28,Auto-generated data
48,Gamma LLC,2021-Q2,72281,36667.09410828492,35613.90589171508,13000.367764702209,22613.538127012875,49.27,31.29,Auto-generated data
49,Delta Corp,2021-Q2,58190,29048.496610572216,29141.503389427784,14214.933027072118,14926.570362355666,50.08,25.65,Auto-generated data
50,Epsilon Ltd,2021-Q2,166500,84854.53259404021,81645.46740595979,37394.51089154121,44250.956514418576,49.04,26.58,Auto-generated data
51,Alpha Inc,2021-Q3,194010,112337.67712107977,81672.32287892023,35343.118416200916,46329.20446271931,42.1,23.88,Auto-generated data
52,Beta Co,2021-Q3,54330,37533.24353250637,16796.75646749363,6374.445310083245,10422.311157410384,30.92,19.18,Auto-generated data
53,Gamma LLC,2021-Q3,177967,117557.5311623582,60409.468837641805,17520.473406985726,42888.99543065608,33.94,24.1,Auto-generated data
54,Delta Corp,2021-Q3,172362,87671.78874303885,84690.21125696115,37835.15699537095,46855.0542615902,49.14,27.18,Auto-generated data
55,Epsilon Ltd,2021-Q3,63330,31849.69573761657,31480.30426238343,7930.856831269871,23549.44743111356,49.71,37.19,Auto-generated data
56,Alpha Inc,2021-Q4,81784,45080.283271116175,36703.716728883825,7940.838559118738,28762.878169765085,44.88,35.17,Auto-generated data
57,Beta Co,2021-Q4,102990,62444.2839786713,40545.7160213287,12200.873422393399,28344.842598935298,39.37,27.52,Auto-generated data
58,Gamma LLC,2021-Q4,171297,113527.8943753316,57769.1056246684,25463.888297928093,32305.21732674031,33.72,18.86,Auto-generated data
59,Delta Corp,2021-Q4,140587,71806.35554573251,68780.64445426749,25852.875413965427,42927.76904030206,48.92,30.53,Auto-generated data
60,Epsilon Ltd,2021-Q4,103001,56223.162789358656,46777.837210641344,15944.113807955828,30833.723402685515,45.41,29.94,Auto-generated data
61,Alpha Inc,2022-Q1,178855,86155.21467351496,92699.78532648504,34033.61665164223,58666.16867484281,51.83,32.8,Auto-generated data
62,Beta Co,2022-Q1,99188,49130.79898564779,50057.20101435221,12199.865935827942,37857.33507852427,50.47,38.17,Auto-generated data
63,Gamma LLC,2022-Q1,126560,69232.9750435343,57327.0249564657,18155.6469382751,39171.378018190604,45.3,30.95,Auto-generated data
64,Delta Corp,2022-Q1,185646,100764.2215029156,84881.7784970844,36798.700175594866,48083.07832148953,45.72,25.9,Auto-generated data
65,Epsilon Ltd,2022-Q1,52505,30897.971318308573,21607.028681691427,5029.773671600855,16577.255010090572,41.15,31.57,Auto-generated data
66,Alpha Inc,2022-Q2,185653,114411.38057539651,71241.61942460349,18420.181085308464,52821.438339295026,38.37,28.45,Auto-generated data
67,Beta Co,2022-Q2,122883,81166.48382321604,41716.51617678396,14306.830490387123,27409.685686396835,33.95,22.31,Auto-generated data
68,Gamma LLC,2022-Q2,129029,80776.66980518283,48252.33019481717,11323.541260266678,36928.788934550495,37.4,28.62,Auto-generated data
69,Delta Corp,2022-Q2,58833,25547.83139909389,33285.16860090611,14957.004612999424,18328.163987906686,56.58,31.15,Auto-generated data
70,Epsilon Ltd,2022-Q2,53362,37293.215711897705,16068.784288102295,7915.734705586834,8153.049582515461,30.11,15.28,Auto-generated data
71,Alpha Inc,2022-Q3,103238,48445.366915690756,54792.633084309244,25553.218970383055,29239.41411392619,53.07,28.32,Auto-generated data
72,Beta Co,2022-Q3,190533,129702.81808419627,60830.181915803725,15139.791094212133,45690.390821591594,31.93,23.98,Auto-generated data
73,Gamma LLC,2022-Q3,176397,87539.00931761821,88857.99068238179,42498.84034407819,46359.150338303596,50.37,26.28,Auto-generated data
74,Delta Corp,2022-Q3,199884,116090.56265314882,83793.43734685118,17000.216251481128,66793.22109537004,41.92,33.42,Auto-generated data
75,Epsilon Ltd,2022-Q3,120742,80604.7490154322,40137.2509845678,18729.032255617592,21408.218728950207,33.24,17.73,Auto-generated data
76,Alpha Inc,2022-Q4,177529,76039.7638703193,101489.2361296807,41844.17399023209,59645.062139448615,57.17,33.6,Auto-generated data
77,Beta Co,2022-Q4,75848,40163.045973756525,35684.954026243475,7960.783574966609,27724.170451276867,47.05,36.55,Auto-generated data
78,Gamma LLC,2022-Q4,128243,51730.091921927575,76512.90807807242,21803.625372462575,54709.28270560985,59.66,42.66,Auto-generated data
79,Delta Corp,2022-Q4,118918,48407.13824823635,70510.86175176364,24782.924643244867,45727.937108518774,59.29,38.45,Auto-generated data
80,Epsilon Ltd,2022-Q4,61094,27480.07359916929,33613.92640083071,7371.819850056297,26242.10655077441,55.02,42.95,Auto-generated data
81,Alpha Inc,2023-Q1,163750,73898.30767676796,89851.69232323204,36944.04966351684,52907.6426597152,54.87,32.31,Auto-generated data
82,Beta Co,2023-Q1,118895,74356.09062787367,44538.909372126334,16864.360371374794,27674.54900075154,37.46,23.28,Auto-generated data
83,Gamma LLC,2023-Q1,85399,50398.1720779457,35000.8279220543,12112.007714345296,22888.820207709003,40.99,26.8,Auto-generated data
84,Delta Corp,2023-Q1,86113,41762.29671918027,44350.70328081973,13539.169772457457,30811.533508362278,51.5,35.78,Auto-generated data
85,Epsilon Ltd,2023-Q1,81293,40245.3533234441,41047.6466765559,14421.6580764703,26625.988600085602,50.49,32.75,Auto-generated data
86,Alpha Inc,2023-Q2,143841,76148.8368576132,67692.1631423868,31906.327024147184,35785.83611823961,47.06,24.88,Auto-generated data
87,Beta Co,2023-Q2,185830,80475.30025789693,105354.69974210307,38630.57637802052,66724.12336408254,56.69,35.91,Auto-generated data
88,Gamma LLC,2023-Q2,109656,60823.742874572315,48832.257125427685,24255.853951280125,24576.40317414756,44.53,22.41,Auto-generated data
89,Delta Corp,2023-Q2,191924,97884.7605364631,94039.2394635369,36147.38022148041,57891.85924205649,49.0,30.16,Auto-generated data
90,Epsilon Ltd,2023-Q2,71597,35611.38709792896,35985.61290207104,15039.009948287088,20946.602953783957,50.26,29.26,Auto-generated data
91,Alpha Inc,2023-Q3,141888,85316.20596453572,56571.79403546428,24651.17563149644,31920.618403967837,39.87,22.5,Auto-generated data
92,Beta Co,2023-Q3,53594,29712.368235918722,23881.631764081278,5875.589662052311,18006.042102028965,44.56,33.6,Auto-generated data
93,Gamma LLC,2023-Q3,132014,84239.25082075842,47774.74917924158,19317.040361638996,28457.708817602586,36.19,21.56,Auto-generated data
94,Delta Corp,2023-Q3,75468,34736.5529901849,40731.4470098151,8616.917240356026,32114.529769459074,53.97,42.55,Auto-generated data
95,Epsilon Ltd,2023-Q3,81167,39896.11370298722,41270.88629701278,13279.456334682825,27991.429962329956,50.85,34.49,Auto-generated data
96,Alpha Inc,2023-Q4,170057,94383.47791708393,75673.52208291607,34524.43068219204,41149.09140072403,44.5,24.2,Auto-generated data
97,Beta Co,2023-Q4,52292,22940.231712244822,29351.768287755178,14402.81921029035,14948.949077464827,56.13,28.59,Auto-generated data
98,Gamma LLC,2023-Q4,182088,124140.25238757834,57947.74761242166,12346.709302635032,45601.03830978663,31.82,25.04,Auto-generated data
99,Delta Corp,2023-Q4,186477,83963.84842728841,102513.15157271159,34010.60210809421,68502.54946461739,54.97,36.74,Auto-generated data
100,Epsilon Ltd,2023-Q4,143723,85984.57426713353,57738.42573286647,25013.625371699007,32724.80036116746,40.17,22.77,Auto-generated data
101,Alpha Inc,2024-Q1,126653,60715.03117867204,65937.96882132796,13342.745898234409,52595.22292309355,52.06,41.53,Auto-generated data
102,Beta Co,2024-Q1,142210,65415.412191649804,76794.58780835019,27060.974915223916,49733.61289312627,54.0,34.97,Auto-generated data
103,Gamma LLC,2024-Q1,191500,97840.13694853631,93659.86305146369,21445.610774283283,72214.2522771804,48.91,37.71,Auto-generated data
104,Delta Corp,2024-Q1,190367,117695.50141144951,72671.49858855049,27227.585056545267,45443.913532005216,38.17,23.87,Auto-generated data
105,Epsilon Ltd,2024-Q1,50636,26756.672478349472,23879.327521650528,6767.623649625149,17111.70387202538,47.16,33.79,Auto-generated data
106,Alpha Inc,2024-Q2,66912,29700.365806667272,37211.63419333273,16237.910006650038,20973.724186682688,55.61,31.35,Auto-generated data
107,Beta Co,2024-Q2,121238,72239.63106280564,48998.36893719436,11889.552898085805,37108.816039108555,40.42,30.61,Auto-generated data
108,Gamma LLC,2024-Q2,164574,110171.02148306553,54402.97851693447,23440.2391828193,30962.73933411517,33.06,18.81,Auto-generated data
109,Delta Corp,2024-Q2,76082,39998.54794842949,36083.45205157051,14635.517642155019,21447.934409415488,47.43,28.19,Auto-generated data
110,Epsilon Ltd,2024-Q2,115696,54382.745470662005,61313.254529337995,14777.3721331863,46535.8823961517,53.0,40.22,Auto-generated data
111,Alpha Inc,2024-Q3,101867,51709.35471138969,50157.64528861031,23790.790446899628,26366.85484171068,49.24,25.88,Auto-generated data
112,Beta Co,2024-Q3,182940,113977.36734005917,68962.63265994083,25087.698129181288,43874.93453075955,37.7,23.98,Auto-generated data
113,Gamma LLC,2024-Q3,94952,64754.04943849349,30197.950561506514,13436.219610203258,16761.730951303256,31.8,17.65,Auto-generated data
114,Delta Corp,2024-Q3,139665,64790.35994379938,74874.64005620062,21924.25227454276,52950.38778165786,53.61,37.91,Auto-generated data
115,Epsilon Ltd,2024-Q3,154707,106991.3735586129,47715.626441387096,15506.344600996004,32209.281840391093,30.84,20.82,Auto-generated data
116,Alpha Inc,2024-Q4,50014,29192.819835117363,20821.180164882637,7750.293426878313,13070.886738004323,41.63,26.13,Auto-generated data
117,Beta Co,2024-Q4,63326,44013.85703584382,19312.142964156177,4482.753297767566,14829.389666388612,30.5,23.42,Auto-generated data
118,Gamma LLC,2024-Q4,160400,99458.14642596763,60941.85357403237,21564.023093981126,39377.83048005124,37.99,24.55,Auto-generated data
119,Delta Corp,2024-Q4,135494,76444.50135046232,59049.49864953768,14387.954056195724,44661.544593341954,43.58,32.96,Auto-generated data
120,Epsilon Ltd,2024-Q4,158838,78520.91931868854,80317.08068131146,18544.473637528416,61772.60704378305,50.57,38.89,Auto-generated data
